sale_id,product_id,store_id,sale_date,quantity,unit_price,discount_pct,revenue,cost,profit,month,quarter,year,season
S00026,P0015,ST001,2022-05-24,12,56.35,5.0,676.2,281.88,394.32,May,Q2,2022,Spring
S00027,P0003,ST006,2021-08-30,1,13.81,5.0,13.81,6.27,7.54,August,Q3,2021,Summer
S00028,P0018,ST003,2021-08-30,9,51.41,0.0,462.69,120.96,341.73,August,Q3,2021,Summer
S00029,P0021,ST003,2021-09-05,10,95.74,0.0,957.4,348.8,608.6,September,Q3,2021,Autumn
S00030,P0021,ST004,2022-02-23,2,76.59,20.0,153.18,69.76,83.42,February,Q1,2022,Winter
S00031,P0031,ST004,2022-05-24,10,103.76,0.0,1037.6,355.0,682.6,May,Q2,2022,Spring
S00032,P0025,ST002,2022-03-03,11,76.87,5.0,845.57,317.24,528.33,March,Q1,2022,Spring
S00033,P0033,ST006,2021-12-12,4,32.65,10.0,130.6,58.32,72.28,December,Q4,2021,Winter
S00034,P0019,ST006,2021-12-01,5,38.58,0.0,192.9,67.55,125.35,December,Q4,2021,Winter
S00035,P0016,ST005,2022-03-23,6,92.05,20.0,552.3,194.28,358.02,March,Q1,2022,Spring
S00036,P0012,ST002,2021-08-05,8,53.44,5.0,427.52,161.68,265.84,August,Q3,2021,Summer
S00037,P0026,ST002,2021-09-07,9,75.42,0.0,678.78,289.89,388.89,September,Q3,2021,Autumn
S00038,P0022,ST005,2021-10-07,6,46.72,15.0,280.32,82.62,197.7,October,Q4,2021,Autumn
S00039,P0012,ST004,2022-02-06,5,56.25,0.0,281.25,101.05,180.2,February,Q1,2022,Winter
S00040,P0033,ST005,2022-06-10,11,34.47,5.0,379.17,160.38,218.79,June,Q2,2022,Summer
S00041,P0005,ST005,2022-07-06,2,33.29,20.0,66.58,27.64,38.94,July,Q3,2022,Summer
S00042,P0009,ST003,2021-12-14,2,17.7,15.0,35.4,16.3,19.1,December,Q4,2021,Winter
S00043,P0024,ST003,2021-12-18,5,95.32,5.0,476.6,183.4,293.2,December,Q4,2021,Winter
S00044,P0012,ST006,2021-11-13,11,53.44,5.0,587.84,222.31,365.53,November,Q4,2021,Autumn
S00045,P0033,ST005,2022-04-16,8,36.28,0.0,290.24,116.64,173.6,April,Q2,2022,Spring
S00046,P0026,ST001,2021-09-17,11,75.42,0.0,829.62,354.31,475.31,September,Q3,2021,Autumn
S00047,P0024,ST005,2021-08-23,1,100.34,0.0,100.34,36.68,63.66,August,Q3,2021,Summer
S00048,P0030,ST003,2022-06-23,5,110.97,0.0,554.85,193.35,361.5,June,Q2,2022,Summer
S00049,P0027,ST008,2022-05-10,12,93.57,0.0,1122.84,428.88,693.96,May,Q2,2022,Spring
S00050,P0020,ST001,2021-09-27,2,20.3,20.0,40.6,21.42,19.18,September,Q3,2021,Autumn
S00051,P0030,ST003,2022-05-07,1,94.32,15.0,94.32,38.67,55.65,May,Q2,2022,Spring
S00052,P0029,ST003,2022-03-09,3,147.44,0.0,442.32,131.64,310.68,March,Q1,2022,Spring
S00053,P0007,ST006,2021-08-21,6,24.3,0.0,145.8,54.54,91.26,August,Q3,2021,Summer
S00054,P0004,ST004,2022-07-08,2,89.47,0.0,178.94,54.9,124.04,July,Q3,2022,Summer
S00055,P0015,ST007,2022-06-14,12,59.32,0.0,711.84,281.88,429.96,June,Q2,2022,Summer
S00056,P0011,ST004,2021-10-23,3,120.7,15.0,362.1,107.76,254.34,October,Q4,2021,Autumn
S00057,P0005,ST001,2021-10-31,12,33.29,20.0,399.48,165.84,233.64,October,Q4,2021,Autumn
S00058,P0031,ST007,2022-07-09,12,88.2,15.0,1058.4,426.0,632.4,July,Q3,2022,Summer
S00059,P0011,ST005,2021-10-21,12,142.0,0.0,1704.0,431.04,1272.96,October,Q4,2021,Autumn
S00060,P0007,ST001,2022-03-29,4,24.3,0.0,97.2,36.36,60.84,March,Q1,2022,Spring
S00061,P0033,ST008,2022-01-27,5,30.84,15.0,154.2,72.9,81.3,January,Q1,2022,Winter
S00062,P0020,ST004,2021-11-23,1,22.83,10.0,22.83,10.71,12.12,November,Q4,2021,Autumn
S00063,P0022,ST007,2022-01-16,5,46.72,15.0,233.6,68.85,164.75,January,Q1,2022,Winter
S00064,P0011,ST005,2022-01-27,11,134.9,5.0,1483.9,395.12,1088.78,January,Q1,2022,Winter
S00065,P0022,ST006,2021-08-15,2,46.72,15.0,93.44,27.54,65.9,August,Q3,2021,Summer
S00066,P0006,ST005,2021-10-31,10,68.98,20.0,689.8,329.3,360.5,October,Q4,2021,Autumn
S00067,P0016,ST005,2021-08-20,2,109.31,5.0,218.62,64.76,153.86,August,Q3,2021,Summer
S00068,P0016,ST006,2022-01-08,7,109.31,5.0,765.17,226.66,538.51,January,Q1,2022,Winter
S00069,P0030,ST002,2022-02-14,10,110.97,0.0,1109.7,386.7,723.0,February,Q1,2022,Winter
S00070,P0024,ST001,2022-07-29,7,100.34,0.0,702.38,256.76,445.62,July,Q3,2022,Summer
S00071,P0023,ST004,2022-02-03,7,126.83,0.0,887.81,246.61,641.2,February,Q1,2022,Winter
S00072,P0019,ST006,2022-06-16,6,34.72,10.0,208.32,81.06,127.26,June,Q2,2022,Summer
S00073,P0025,ST002,2022-01-01,9,80.92,0.0,728.28,259.56,468.72,January,Q1,2022,Winter
S00074,P0032,ST007,2022-01-15,7,73.99,10.0,517.93,202.72,315.21,January,Q1,2022,Winter
S00075,P0031,ST003,2021-11-07,7,93.38,10.0,653.66,248.5,405.16,November,Q4,2021,Autumn
S00076,P0002,ST007,2022-07-13,12,94.47,20.0,1133.64,384.84,748.8,July,Q3,2022,Summer
S00077,P0009,ST005,2022-02-24,9,17.7,15.0,159.3,73.35,85.95,February,Q1,2022,Winter
S00078,P0014,ST005,2021-12-25,4,70.64,0.0,282.56,117.48,165.08,December,Q4,2021,Winter
S00079,P0029,ST006,2022-03-27,8,147.44,0.0,1179.52,351.04,828.48,March,Q1,2022,Spring
S00080,P0016,ST004,2022-04-19,8,103.55,10.0,828.4,259.04,569.36,April,Q2,2022,Spring
S00081,P0029,ST003,2022-07-04,2,147.44,0.0,294.88,87.76,207.12,July,Q3,2022,Summer
S00082,P0030,ST006,2021-09-17,4,99.87,10.0,399.48,154.68,244.8,September,Q3,2021,Autumn
S00083,P0001,ST004,2021-11-10,3,15.19,0.0,45.57,18.0,27.57,November,Q4,2021,Autumn
S00084,P0012,ST004,2022-04-01,10,47.81,15.0,478.1,202.1,276.0,April,Q2,2022,Spring
S00085,P0004,ST002,2022-03-22,7,76.05,15.0,532.35,192.15,340.2,March,Q1,2022,Spring
S00086,P0006,ST004,2022-07-23,7,86.22,0.0,603.54,230.51,373.03,July,Q3,2022,Summer
S00087,P0020,ST004,2021-10-15,11,22.83,10.0,251.13,117.81,133.32,October,Q4,2021,Autumn
S00088,P0006,ST002,2022-03-06,4,86.22,0.0,344.88,131.72,213.16,March,Q1,2022,Spring
S00089,P0016,ST008,2021-08-26,9,115.06,0.0,1035.54,291.42,744.12,August,Q3,2021,Summer
S00090,P0006,ST002,2022-03-22,3,73.29,15.0,219.87,98.79,121.08,March,Q1,2022,Spring
S00091,P0028,ST006,2022-03-15,10,75.9,15.0,759.0,231.5,527.5,March,Q1,2022,Spring
S00092,P0009,ST007,2022-05-08,8,17.7,15.0,141.6,65.2,76.4,May,Q2,2022,Spring
S00093,P0010,ST008,2022-03-19,5,81.79,10.0,408.95,140.45,268.5,March,Q1,2022,Spring
S00094,P0012,ST005,2022-04-24,8,53.44,5.0,427.52,161.68,265.84,April,Q2,2022,Spring
S00095,P0005,ST005,2022-03-14,2,37.45,10.0,74.9,27.64,47.26,March,Q1,2022,Spring
S00096,P0008,ST004,2021-12-18,6,122.64,0.0,735.84,223.74,512.1,December,Q4,2021,Winter
S00097,P0003,ST002,2021-10-10,3,14.54,0.0,43.62,18.81,24.81,October,Q4,2021,Autumn
S00098,P0020,ST003,2022-07-28,4,25.37,0.0,101.48,42.84,58.64,July,Q3,2022,Summer
S00099,P0014,ST007,2022-01-17,9,70.64,0.0,635.76,264.33,371.43,January,Q1,2022,Winter
S00100,P0023,ST001,2021-11-14,7,126.83,0.0,887.81,246.61,641.2,November,Q4,2021,Autumn
S00101,P0017,ST001,2022-05-22,7,131.04,0.0,917.28,265.09,652.19,May,Q2,2022,Spring
S00102,P0014,ST006,2021-12-31,7,60.04,15.0,420.28,205.59,214.69,December,Q4,2021,Winter
S00103,P0030,ST007,2022-05-03,12,99.87,10.0,1198.44,464.04,734.4,May,Q2,2022,Spring
S00104,P0024,ST004,2022-04-07,4,100.34,0.0,401.36,146.72,254.64,April,Q2,2022,Spring
S00105,P0029,ST008,2021-08-15,7,147.44,0.0,1032.08,307.16,724.92,August,Q3,2021,Summer
S00106,P0012,ST007,2021-10-24,8,45.0,20.0,360.0,161.68,198.32,October,Q4,2021,Autumn
S00107,P0010,ST001,2022-02-18,10,86.34,5.0,863.4,280.9,582.5,February,Q1,2022,Winter
S00108,P0011,ST001,2021-09-12,11,142.0,0.0,1562.0,395.12,1166.88,September,Q3,2021,Autumn
S00109,P0019,ST008,2021-11-02,1,38.58,0.0,38.58,13.51,25.07,November,Q4,2021,Autumn
S00110,P0010,ST006,2021-11-17,8,90.88,0.0,727.04,224.72,502.32,November,Q4,2021,Autumn
S00111,P0011,ST007,2021-12-21,7,142.0,0.0,994.0,251.44,742.56,December,Q4,2021,Winter
S00112,P0020,ST002,2022-03-29,1,22.83,10.0,22.83,10.71,12.12,March,Q1,2022,Spring
S00113,P0014,ST001,2022-01-27,4,63.58,10.0,254.32,117.48,136.84,January,Q1,2022,Winter
S00114,P0009,ST001,2021-08-16,4,20.82,0.0,83.28,32.6,50.68,August,Q3,2021,Summer
S00115,P0009,ST001,2022-06-15,3,20.82,0.0,62.46,24.45,38.01,June,Q2,2022,Summer
S00116,P0026,ST008,2022-07-09,2,71.65,5.0,143.3,64.42,78.88,July,Q3,2022,Summer
S00117,P0023,ST004,2022-03-27,12,126.83,0.0,1521.96,422.76,1099.2,March,Q1,2022,Spring
S00118,P0033,ST006,2021-10-25,10,34.47,5.0,344.7,145.8,198.9,October,Q4,2021,Autumn
S00119,P0002,ST002,2021-10-23,5,118.09,0.0,590.45,160.35,430.1,October,Q4,2021,Autumn
S00120,P0027,ST001,2022-01-07,10,84.21,10.0,842.1,357.4,484.7,January,Q1,2022,Winter
S00121,P0020,ST007,2022-02-20,12,25.37,0.0,304.44,128.52,175.92,February,Q1,2022,Winter
S00122,P0018,ST004,2021-09-22,12,46.27,10.0,555.24,161.28,393.96,September,Q3,2021,Autumn
S00123,P0001,ST002,2022-05-17,1,15.19,0.0,15.19,6.0,9.19,May,Q2,2022,Spring
S00124,P0026,ST007,2022-07-05,6,75.42,0.0,452.52,193.26,259.26,July,Q3,2022,Summer
S00125,P0020,ST006,2021-08-07,7,21.56,15.0,150.92,74.97,75.95,August,Q3,2021,Summer
S00126,P0011,ST002,2022-03-10,6,134.9,5.0,809.4,215.52,593.88,March,Q1,2022,Spring
S00127,P0016,ST008,2022-07-29,3,115.06,0.0,345.18,97.14,248.04,July,Q3,2022,Summer
S00128,P0019,ST005,2022-06-12,9,34.72,10.0,312.48,121.59,190.89,June,Q2,2022,Summer
S00129,P0023,ST008,2022-03-12,12,120.49,5.0,1445.88,422.76,1023.12,March,Q1,2022,Spring
S00130,P0025,ST006,2021-12-04,2,80.92,0.0,161.84,57.68,104.16,December,Q4,2021,Winter
S00131,P0010,ST008,2021-12-03,8,86.34,5.0,690.72,224.72,466.0,December,Q4,2021,Winter
S00132,P0024,ST007,2022-01-20,1,100.34,0.0,100.34,36.68,63.66,January,Q1,2022,Winter
S00133,P0020,ST006,2021-11-02,8,25.37,0.0,202.96,85.68,117.28,November,Q4,2021,Autumn
S00134,P0019,ST005,2022-01-22,5,32.79,15.0,163.95,67.55,96.4,January,Q1,2022,Winter
S00135,P0023,ST005,2022-05-12,1,120.49,5.0,120.49,35.23,85.26,May,Q2,2022,Spring
S00136,P0007,ST004,2021-09-13,4,21.87,10.0,87.48,36.36,51.12,September,Q3,2021,Autumn
S00137,P0021,ST008,2022-05-12,4,86.17,10.0,344.68,139.52,205.16,May,Q2,2022,Spring
S00138,P0002,ST008,2022-03-18,1,118.09,0.0,118.09,32.07,86.02,March,Q1,2022,Spring
S00139,P0006,ST004,2022-02-24,12,86.22,0.0,1034.64,395.16,639.48,February,Q1,2022,Winter
S00140,P0028,ST006,2022-03-31,9,84.84,5.0,763.56,208.35,555.21,March,Q1,2022,Spring
S00141,P0009,ST007,2022-05-09,6,20.82,0.0,124.92,48.9,76.02,May,Q2,2022,Spring
S00142,P0017,ST008,2021-12-17,5,131.04,0.0,655.2,189.35,465.85,December,Q4,2021,Winter
S00143,P0004,ST002,2021-11-07,6,89.47,0.0,536.82,164.7,372.12,November,Q4,2021,Autumn
S00144,P0028,ST003,2021-11-07,4,80.37,10.0,321.48,92.6,228.88,November,Q4,2021,Autumn
S00145,P0008,ST005,2022-05-29,9,116.51,5.0,1048.59,335.61,712.98,May,Q2,2022,Spring
S00146,P0018,ST002,2021-11-08,5,51.41,0.0,257.05,67.2,189.85,November,Q4,2021,Autumn
S00147,P0012,ST003,2022-01-02,1,50.62,10.0,50.62,20.21,30.41,January,Q1,2022,Winter
S00148,P0012,ST003,2021-12-19,1,39.38,30.0,39.38,20.21,19.17,December,Q4,2021,Winter
S00149,P0016,ST005,2022-07-24,3,109.31,5.0,327.93,97.14,230.79,July,Q3,2022,Summer
S00150,P0024,ST008,2021-09-22,1,95.32,5.0,95.32,36.68,58.64,September,Q3,2021,Autumn
S00151,P0002,ST008,2022-04-03,8,118.09,0.0,944.72,256.56,688.16,April,Q2,2022,Spring
S00152,P0026,ST001,2021-12-08,8,75.42,0.0,603.36,257.68,345.68,December,Q4,2021,Winter
S00153,P0005,ST002,2022-02-22,8,41.61,0.0,332.88,110.56,222.32,February,Q1,2022,Winter
S00154,P0004,ST001,2021-10-17,3,76.05,15.0,228.15,82.35,145.8,October,Q4,2021,Autumn
S00155,P0008,ST005,2021-09-13,4,122.64,0.0,490.56,149.16,341.4,September,Q3,2021,Autumn
S00156,P0001,ST007,2022-06-07,10,13.67,10.0,136.7,60.0,76.7,June,Q2,2022,Summer
S00157,P0024,ST004,2022-04-25,7,100.34,0.0,702.38,256.76,445.62,April,Q2,2022,Spring
S00158,P0022,ST008,2021-12-31,10,38.48,30.0,384.8,137.7,247.1,December,Q4,2021,Winter
S00159,P0009,ST005,2022-05-19,10,20.82,0.0,208.2,81.5,126.7,May,Q2,2022,Spring
S00160,P0004,ST002,2021-11-15,11,89.47,0.0,984.17,301.95,682.22,November,Q4,2021,Autumn
S00161,P0028,ST002,2021-10-20,4,89.3,0.0,357.2,92.6,264.6,October,Q4,2021,Autumn
S00162,P0022,ST002,2021-10-20,1,54.97,0.0,54.97,13.77,41.2,October,Q4,2021,Autumn
S00163,P0019,ST008,2021-12-28,1,38.58,0.0,38.58,13.51,25.07,December,Q4,2021,Winter
S00164,P0007,ST005,2022-07-26,8,24.3,0.0,194.4,72.72,121.68,July,Q3,2022,Summer
S00165,P0006,ST004,2021-12-14,11,81.91,5.0,901.01,362.23,538.78,December,Q4,2021,Winter
S00166,P0032,ST004,2022-03-06,2,78.1,5.0,156.2,57.92,98.28,March,Q1,2022,Spring
S00167,P0024,ST003,2021-12-15,3,100.34,0.0,301.02,110.04,190.98,December,Q4,2021,Winter
S00168,P0027,ST003,2022-01-05,10,84.21,10.0,842.1,357.4,484.7,January,Q1,2022,Winter
S00169,P0011,ST005,2022-03-13,2,142.0,0.0,284.0,71.84,212.16,March,Q1,2022,Spring
S00170,P0024,ST005,2022-07-25,7,80.27,20.0,561.89,256.76,305.13,July,Q3,2022,Summer
S00171,P0028,ST008,2022-03-13,2,84.84,5.0,169.68,46.3,123.38,March,Q1,2022,Spring
S00172,P0027,ST007,2022-01-13,10,93.57,0.0,935.7,357.4,578.3,January,Q1,2022,Winter
S00173,P0004,ST002,2021-11-26,11,76.05,15.0,836.55,301.95,534.6,November,Q4,2021,Autumn
S00174,P0016,ST001,2022-07-11,5,109.31,5.0,546.55,161.9,384.65,July,Q3,2022,Summer
S00175,P0013,ST003,2022-03-29,9,43.69,10.0,393.21,178.29,214.92,March,Q1,2022,Spring
S00176,P0001,ST005,2021-11-01,10,15.19,0.0,151.9,60.0,91.9,November,Q4,2021,Autumn
S00177,P0007,ST008,2021-09-16,8,24.3,0.0,194.4,72.72,121.68,September,Q3,2021,Autumn
S00178,P0009,ST006,2022-01-12,11,20.82,0.0,229.02,89.65,139.37,January,Q1,2022,Winter
S00179,P0019,ST003,2022-01-16,7,34.72,10.0,243.04,94.57,148.47,January,Q1,2022,Winter
S00180,P0009,ST005,2022-07-06,7,17.7,15.0,123.9,57.05,66.85,July,Q3,2022,Summer
S00181,P0010,ST001,2022-03-21,2,90.88,0.0,181.76,56.18,125.58,March,Q1,2022,Spring
S00182,P0009,ST006,2021-09-29,7,17.7,15.0,123.9,57.05,66.85,September,Q3,2021,Autumn
S00183,P0009,ST001,2022-07-03,9,20.82,0.0,187.38,73.35,114.03,July,Q3,2022,Summer
S00184,P0019,ST001,2021-11-05,9,38.58,0.0,347.22,121.59,225.63,November,Q4,2021,Autumn
S00185,P0022,ST008,2022-06-17,8,49.47,10.0,395.76,110.16,285.6,June,Q2,2022,Summer
S00186,P0022,ST004,2021-12-15,9,54.97,0.0,494.73,123.93,370.8,December,Q4,2021,Winter
S00187,P0009,ST005,2022-03-13,12,20.82,0.0,249.84,97.8,152.04,March,Q1,2022,Spring
S00188,P0022,ST001,2022-06-19,10,49.47,10.0,494.7,137.7,357.0,June,Q2,2022,Summer
S00189,P0018,ST003,2022-01-07,9,51.41,0.0,462.69,120.96,341.73,January,Q1,2022,Winter
S00190,P0006,ST007,2021-09-17,4,60.35,30.0,241.4,131.72,109.68,September,Q3,2021,Autumn
S00191,P0032,ST002,2022-03-25,2,78.1,5.0,156.2,57.92,98.28,March,Q1,2022,Spring
S00192,P0003,ST003,2022-04-13,12,14.54,0.0,174.48,75.24,99.24,April,Q2,2022,Spring
S00193,P0024,ST005,2022-03-01,8,70.24,30.0,561.92,293.44,268.48,March,Q1,2022,Spring
S00194,P0002,ST004,2022-03-22,9,118.09,0.0,1062.81,288.63,774.18,March,Q1,2022,Spring
S00195,P0021,ST004,2022-06-03,9,86.17,10.0,775.53,313.92,461.61,June,Q2,2022,Summer
S00196,P0026,ST003,2021-09-05,5,67.88,10.0,339.4,161.05,178.35,September,Q3,2021,Autumn
S00197,P0033,ST007,2022-01-22,9,36.28,0.0,326.52,131.22,195.3,January,Q1,2022,Winter
S00198,P0014,ST001,2021-12-23,12,70.64,0.0,847.68,352.44,495.24,December,Q4,2021,Winter
S00199,P0018,ST008,2021-10-16,8,48.84,5.0,390.72,107.52,283.2,October,Q4,2021,Autumn
S00200,P0005,ST006,2022-01-18,9,37.45,10.0,337.05,124.38,212.67,January,Q1,2022,Winter
S00201,P0015,ST007,2022-03-22,6,50.42,15.0,302.52,140.94,161.58,March,Q1,2022,Spring
S00202,P0022,ST004,2022-05-20,7,54.97,0.0,384.79,96.39,288.4,May,Q2,2022,Spring
S00203,P0022,ST007,2021-08-23,6,49.47,10.0,296.82,82.62,214.2,August,Q3,2021,Summer
S00204,P0008,ST007,2022-02-14,11,110.38,10.0,1214.18,410.19,803.99,February,Q1,2022,Winter
S00205,P0001,ST003,2022-04-11,1,15.19,0.0,15.19,6.0,9.19,April,Q2,2022,Spring
S00206,P0021,ST006,2021-09-21,8,95.74,0.0,765.92,279.04,486.88,September,Q3,2021,Autumn
S00207,P0033,ST008,2021-08-08,12,36.28,0.0,435.36,174.96,260.4,August,Q3,2021,Summer
S00208,P0010,ST003,2021-09-08,8,81.79,10.0,654.32,224.72,429.6,September,Q3,2021,Autumn
S00209,P0020,ST005,2022-01-21,10,22.83,10.0,228.3,107.1,121.2,January,Q1,2022,Winter
S00210,P0032,ST002,2022-01-16,11,69.88,15.0,768.68,318.56,450.12,January,Q1,2022,Winter
S00211,P0026,ST007,2022-01-10,11,67.88,10.0,746.68,354.31,392.37,January,Q1,2022,Winter
S00212,P0012,ST008,2022-05-05,1,53.44,5.0,53.44,20.21,33.23,May,Q2,2022,Spring
S00213,P0015,ST004,2022-06-20,11,47.46,20.0,522.06,258.39,263.67,June,Q2,2022,Summer
S00214,P0033,ST004,2021-09-16,7,25.4,30.0,177.8,102.06,75.74,September,Q3,2021,Autumn
S00215,P0021,ST002,2022-03-16,3,86.17,10.0,258.51,104.64,153.87,March,Q1,2022,Spring
S00216,P0030,ST001,2021-08-24,6,99.87,10.0,599.22,232.02,367.2,August,Q3,2021,Summer
S00217,P0005,ST005,2022-01-31,6,41.61,0.0,249.66,82.92,166.74,January,Q1,2022,Winter
S00218,P0016,ST004,2022-04-29,7,109.31,5.0,765.17,226.66,538.51,April,Q2,2022,Spring
S00219,P0021,ST003,2021-10-27,3,95.74,0.0,287.22,104.64,182.58,October,Q4,2021,Autumn
S00220,P0013,ST007,2022-06-14,11,48.54,0.0,533.94,217.91,316.03,June,Q2,2022,Summer
S00221,P0016,ST003,2021-11-27,8,109.31,5.0,874.48,259.04,615.44,November,Q4,2021,Autumn
S00222,P0013,ST008,2021-12-09,11,48.54,0.0,533.94,217.91,316.03,December,Q4,2021,Winter
S00223,P0020,ST008,2021-12-26,11,24.1,5.0,265.1,117.81,147.29,December,Q4,2021,Winter
S00224,P0032,ST002,2022-03-15,6,57.55,30.0,345.3,173.76,171.54,March,Q1,2022,Spring
S00225,P0013,ST005,2022-06-24,7,43.69,10.0,305.83,138.67,167.16,June,Q2,2022,Summer
S00226,P0014,ST008,2022-01-02,4,49.45,30.0,197.8,117.48,80.32,January,Q1,2022,Winter
S00227,P0030,ST008,2021-09-24,4,110.97,0.0,443.88,154.68,289.2,September,Q3,2021,Autumn
S00228,P0024,ST006,2022-05-22,5,70.24,30.0,351.2,183.4,167.8,May,Q2,2022,Spring
S00229,P0006,ST005,2021-08-12,11,86.22,0.0,948.42,362.23,586.19,August,Q3,2021,Summer
S00230,P0027,ST001,2022-05-17,11,84.21,10.0,926.31,393.14,533.17,May,Q2,2022,Spring
S00231,P0033,ST001,2022-06-07,12,36.28,0.0,435.36,174.96,260.4,June,Q2,2022,Summer
S00232,P0030,ST005,2021-11-26,10,94.32,15.0,943.2,386.7,556.5,November,Q4,2021,Autumn
S00233,P0013,ST004,2022-06-22,4,46.11,5.0,184.44,79.24,105.2,June,Q2,2022,Summer
S00234,P0021,ST003,2022-06-18,2,76.59,20.0,153.18,69.76,83.42,June,Q2,2022,Summer
S00235,P0028,ST001,2022-01-06,8,89.3,0.0,714.4,185.2,529.2,January,Q1,2022,Winter
S00236,P0004,ST006,2021-10-07,2,71.58,20.0,143.16,54.9,88.26,October,Q4,2021,Autumn
S00237,P0007,ST006,2022-03-01,3,24.3,0.0,72.9,27.27,45.63,March,Q1,2022,Spring
S00238,P0005,ST006,2022-04-29,9,33.29,20.0,299.61,124.38,175.23,April,Q2,2022,Spring
S00239,P0011,ST003,2021-12-10,8,113.6,20.0,908.8,287.36,621.44,December,Q4,2021,Winter
S00240,P0024,ST005,2022-01-21,2,100.34,0.0,200.68,73.36,127.32,January,Q1,2022,Winter
S00241,P0024,ST002,2021-10-12,4,85.29,15.0,341.16,146.72,194.44,October,Q4,2021,Autumn
S00242,P0001,ST007,2022-05-13,6,15.19,0.0,91.14,36.0,55.14,May,Q2,2022,Spring
S00243,P0003,ST007,2021-08-08,5,13.81,5.0,69.05,31.35,37.7,August,Q3,2021,Summer
S00244,P0015,ST008,2022-02-05,11,53.39,10.0,587.29,258.39,328.9,February,Q1,2022,Winter
S00245,P0031,ST005,2022-05-27,7,88.2,15.0,617.4,248.5,368.9,May,Q2,2022,Spring
S00246,P0022,ST006,2021-09-25,11,54.97,0.0,604.67,151.47,453.2,September,Q3,2021,Autumn
S00247,P0005,ST001,2022-06-14,9,41.61,0.0,374.49,124.38,250.11,June,Q2,2022,Summer
S00248,P0006,ST004,2022-06-28,2,81.91,5.0,163.82,65.86,97.96,June,Q2,2022,Summer
S00249,P0003,ST008,2022-07-25,5,13.81,5.0,69.05,31.35,37.7,July,Q3,2022,Summer
S00250,P0027,ST002,2021-10-11,1,74.86,20.0,74.86,35.74,39.12,October,Q4,2021,Autumn
S00251,P0027,ST005,2022-04-10,2,93.57,0.0,187.14,71.48,115.66,April,Q2,2022,Spring
S00252,P0014,ST003,2022-02-15,8,70.64,0.0,565.12,234.96,330.16,February,Q1,2022,Winter
S00253,P0002,ST007,2022-05-28,12,106.28,10.0,1275.36,384.84,890.52,May,Q2,2022,Spring
S00254,P0005,ST007,2022-07-02,2,35.37,15.0,70.74,27.64,43.1,July,Q3,2022,Summer
S00255,P0017,ST007,2021-12-22,1,117.94,10.0,117.94,37.87,80.07,December,Q4,2021,Winter
